headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
die Schere im Kopf haben	649	649	die Schere im Kopf + HABEN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/die_Schere_im_Kopf_haben	
die Schiffe hinter sich verbrennen	650	650	die Schiffe hinter SICHB + VERBRENNEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/die_Schiffe_hinter_sich_verbrennen	
die Schnauze halten	651	651	die Schnauze + HALTEN		0	114 -> 0	1	114 -> 1							0		die Klappe halten		https://de.wiktionary.org/wiki/die_Schnauze_halten	
die Schnauze voll haben	652	652	die Schnauze voll + HABEN		0	0 -> 0	0	0 -> 0							0	die Nase voll haben			https://de.wiktionary.org/wiki/die_Schnauze_voll_haben	https://en.wiktionary.org/wiki/die_Schnauze_voll_haben
die Schotten dichtmachen	653	653	die Schotten dicht+ _MACHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/die_Schotten_dichtmachen	
die Schulbank drücken	654	654	die Schulbank + drück		2	7 -> 2	2	7 -> 2							2				https://de.wiktionary.org/wiki/die_Schulbank_dr%C3%BCcken	
die Schäflein im Trockenen haben	655	655	die Schäflein + im Trockenen + HABEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	seine Schäfchen im Trockenen haben	sein Schäfchen ins Trockene bringen	sein Schäfchen ins Trockene bringen	https://de.wiktionary.org/wiki/die_Sch%C3%A4flein_im_Trockenen_haben	
die Seele baumeln lassen	656	656	die Seele + baumeln + LASSEN		0	301 -> 0 -> 0	0	301 -> 0 -> 0							0				https://de.wiktionary.org/wiki/die_Seele_baumeln_lassen	
die Segel streichen	657	657	die Segel + STREICHEN		11	50 -> 11	11	50 -> 11							11				https://de.wiktionary.org/wiki/die_Segel_streichen	
die Spendierhosen anhaben	658	658	die Spendierhosen + \ban(\b|h|z|g) + _HABEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	Spendierhosen			https://de.wiktionary.org/wiki/die_Spendierhosen_anhaben	
die Sprache auf etwas bringen	659	659	die Sprache auf + BRINGEN		0	3 -> 0	0	3 -> 0							0				https://de.wiktionary.org/wiki/die_Sprache_auf_etwas_bringen	
die Spreu vom Weizen trennen	660	660	die Spreu + Weizen		3	6 -> 3	3	6 -> 3							3				https://de.wiktionary.org/wiki/die_Spreu_vom_Weizen_trennen	https://en.wiktionary.org/wiki/die_Spreu_vom_Weizen_trennen
die Stecknadel im Heuhaufen suchen	661	661	Stecknadel im Heuhaufen + SUCHEN		0	0 -> 0	0	0 -> 0							0	die Nadel im Heuhaufen suchen		die Nadel im Heuhaufen suchen	https://de.wiktionary.org/wiki/die_Stecknadel_im_Heuhaufen_suchen	
die Sterne vom Himmel holen wollen	662	662	die Sterne + vom Himmel + holen + WOLLEN		0	165 -> 1 -> 0 -> 0	0	165 -> 1 -> 0 -> 0							0	die Sterne vom Himmel			https://de.wiktionary.org/wiki/die_Sterne_vom_Himmel_holen_wollen	
die Stille vor dem Sturm	663	663	Stille + vor dem Sturm		0	401 -> 0	0	547 -> 0							0	die Ruhe vor dem Sturm		die Ruhe vor dem Sturm	https://de.wiktionary.org/wiki/die_Stille_vor_dem_Sturm	
die Stirn bieten	664	664	die Stirn + BIETEN		15	168 -> 15	15	168 -> 15							15	die Stirn bieten			https://de.wiktionary.org/wiki/die_Stirn_bieten	
die Stirn haben	665	665	die Stirn + HABEN		17	168 -> 17	17	168 -> 17							17				https://de.wiktionary.org/wiki/die_Stirn_haben	
die Straße abklappern	666	666	die Straße + \bab(\b|k|z|g) + klapper		0	2851 -> 170 -> 0	0	2851 -> 215 -> 0							0				https://de.wiktionary.org/wiki/die_Stra%C3%9Fe_abklappern	
die Straße fegen	667	667	die Straße + FEGEN		0	2851 -> 0	0	2851 -> 0							0				https://de.wiktionary.org/wiki/die_Stra%C3%9Fe_fegen	
die Stunde der Wahrheit	668	668	\b[Dd](ie|er) Stunde der Wahrheit\b	die Stunde der Wahrheit	3	3	3	3	3	3	3	3			3	die Stunde der Wahrheit			https://de.wiktionary.org/wiki/die_Stunde_der_Wahrheit	
die Suppe auslöffeln	669	669	die Suppe + \baus(\b|l|z|g) + löff(el|le)		1	24 -> 5 -> 1	1	24 -> 6 -> 1							1				https://de.wiktionary.org/wiki/die_Suppe_ausl%C3%B6ffeln	https://en.wiktionary.org/wiki/die_Suppe_ausl%C3%B6ffeln
die Tafel aufheben	670	670	die Tafel + \bauf(\b|h|z|g) + _HEBEN		1	102 -> 20 -> 1	1	102 -> 24 -> 1							1				https://de.wiktionary.org/wiki/die_Tafel_aufheben	
die Waffen strecken	671	671	die Waffen + streck		10	288 -> 10	10	288 -> 10							10				https://de.wiktionary.org/wiki/die_Waffen_strecken	
die Wahl haben zwischen Pest und Cholera	672	672	die Wahl + zwischen Pest und Cholera + HABEN		0	2682 -> 0 -> 0	0	2682 -> 0 -> 0							0				https://de.wiktionary.org/wiki/die_Wahl_haben_zwischen_Pest_und_Cholera	
die Weichen für etwas stellen	673	673	die Weichen für + STELLEN		35	37 -> 35	35	37 -> 35							35				https://de.wiktionary.org/wiki/die_Weichen_f%C3%BCr_etwas_stellen	
die Weisheit nicht mit Löffeln gefressen haben	674	674	die Weisheit + Löffeln? + gefressen		0	39 -> 0 -> 0	0	39 -> 0 -> 0							0	die Weisheit nicht mit Löffeln gefressen haben			https://de.wiktionary.org/wiki/die_Weisheit_nicht_mit_L%C3%B6ffeln_gefressen_haben	
die Weisheit nicht mit Löffeln gegessen haben	675	675	die Weisheit + Löffeln? + gegessen		0	39 -> 0 -> 0	0	39 -> 0 -> 0							0	die Weisheit nicht mit Löffeln gefressen haben			https://de.wiktionary.org/wiki/die_Weisheit_nicht_mit_L%C3%B6ffeln_gegessen_haben	
die Wogen glätten	676	676	die Wogen + glätt		14	21 -> 14	14	21 -> 14							14				https://de.wiktionary.org/wiki/die_Wogen_gl%C3%A4tten	
die Wände haben Ohren	677	677	die Wände haben Ohren		0	0	0	0							0				https://de.wiktionary.org/wiki/die_W%C3%A4nde_haben_Ohren	
die Würmer baden	678	678	die Würmer + BADEN		0	18 -> 0	0	18 -> 0							0	Würmer baden		Würmer baden	https://de.wiktionary.org/wiki/die_W%C3%BCrmer_baden	
die Zeit totschlagen	679	679	die Zeit + \btot(\b|s|z|g) + _SCHLAGEN		1	4052 -> 3 -> 1	1	4076 -> 4 -> 1							1				https://de.wiktionary.org/wiki/die_Zeit_totschlagen	
die Zelte abbrechen	680	680	die Zelte + \bab(\b|b|z|g) + _BRECHEN		0	20 -> 5 -> 0	0	20 -> 6 -> 0							0	seine Zelte abbrechen			https://de.wiktionary.org/wiki/die_Zelte_abbrechen	https://en.wiktionary.org/wiki/die_Zelte_abbrechen
die zweite Geige spielen	681	681	die zweite Geige + spiel		2	4 -> 2	2	4 -> 2							2		die zweite Geige spielen		https://de.wiktionary.org/wiki/die_zweite_Geige_spielen	https://en.wiktionary.org/wiki/die_zweite_Geige_spielen
die Zähne zusammenbeißen	682	682	die Zähne + \bzusammen(\b|b|zubeißen|gebissen) + _BEIẞEN	die Zähne + \bzusammen(\b|b|z|g) + _BEIẞEN	3	235 -> 3 -> 3	3	235 -> 3 -> 3	3	235 -> 5 -> 3	3	235 -> 5 -> 3			3				https://de.wiktionary.org/wiki/die_Z%C3%A4hne_zusammenbei%C3%9Fen	https://en.wiktionary.org/wiki/die_Z%C3%A4hne_zusammenbei%C3%9Fen
die Ärmel hochkrempeln	683	683	die Ärmel + \bhoch(\b|kremp|zukrempeln|gekrempelt) + kremp(el|le)	die Ärmel + \bhoch(\b|k|z|g) + kremp(el|le)	1	19 -> 1 -> 1	1	19 -> 1 -> 1	1	19 -> 3 -> 1	1	19 -> 3 -> 1			1				https://de.wiktionary.org/wiki/die_%C3%84rmel_hochkrempeln	
die üblichen Verdächtigen	684	684	(die|den) üblichen Verdächtigen		2	2	7	7							2				https://de.wiktionary.org/wiki/die_%C3%BCblichen_Verd%C3%A4chtigen	
dies und das	685	685	dies und das		12	12	16	16							12				https://de.wiktionary.org/wiki/dies_und_das	
dieselbe Couleur in Grün	686	686	dieselbe Couleur in Grün		0	0	0	0							0	dasselbe in Grün		dasselbe in Grün	https://de.wiktionary.org/wiki/dieselbe_Couleur_in_Gr%C3%BCn	
dieselbe Sprache sprechen	687	687	dieselbe Sprache + SPRECHEN		3	5 -> 3	5	5 -> 5							3				https://de.wiktionary.org/wiki/dieselbe_Sprache_sprechen	
dieser Tage	688	688	dieser Tage		33	33	33	33							33				https://de.wiktionary.org/wiki/dieser_Tage	
dieser Zug ist abgefahren	689	689	dieser Zug + abgefahren + SEIN		0	39 -> 0 -> 0	0	40 -> 0 -> 0							0	der Zug ist abgefahren		der Zug ist abgefahren	https://de.wiktionary.org/wiki/dieser_Zug_ist_abgefahren	
doppelt gemoppelt hält besser	690	690	doppelt gemoppelt hält besser		0	0	0	0							0	doppelt hält besser		doppelt hält besser	https://de.wiktionary.org/wiki/doppelt_gemoppelt_h%C3%A4lt_besser	
doppelt genäht hält besser	691	691	doppelt + besser + genäht + HALTEN		0	1247 -> 5 -> 0 -> 0	0	1247 -> 5 -> 0 -> 0							0	doppelt hält besser		doppelt hält besser	https://de.wiktionary.org/wiki/doppelt_gen%C3%A4ht_h%C3%A4lt_besser	
doppelt hält besser	692	692	doppelt + besser + HALTEN		1	1247 -> 5 -> 1	1	1247 -> 5 -> 1							1	doppelt hält besser			https://de.wiktionary.org/wiki/doppelt_h%C3%A4lt_besser	
dos à dos	693	693	dos à dos		0	0	0	0							0				https://de.wiktionary.org/wiki/dos_%C3%A0_dos	
Dreck am Stecken haben	694	694	Dreck am Stecken		0	0	0	0							0				https://de.wiktionary.org/wiki/Dreck_am_Stecken_haben	
Dreh- und Angelpunkt	695	695	Dreh-? + und Angelpunkt		43	237 -> 43	43	250 -> 43							43				https://de.wiktionary.org/wiki/Dreh-_und_Angelpunkt	
drei Kreuze machen	696	696	drei Kreuze + MACHEN		1	16 -> 1	1	16 -> 1							1				https://de.wiktionary.org/wiki/drei_Kreuze_machen	
dreimal umgezogen ist einmal abgebrannt	697	697	dreimal umgezogen + einmal abgebrannt		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/dreimal_umgezogen_ist_einmal_abgebrannt	
Druck auf der Nille haben	698	698	Druck auf der Nille + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/Druck_auf_der_Nille_haben	
Druck ausüben	699	699	Druck + \baus(\b|üb|zuüben|geübt) + AUSÜBEN	Druck + \baus(\b|ü|z|g) + AUSÜBEN	205	4730 -> 640 -> 205	205	4744 -> 656 -> 205	205	4730 -> 782 -> 205	205	4744 -> 839 -> 205			205				https://de.wiktionary.org/wiki/Druck_aus%C3%BCben	
drunter und drüber	700	700	drunter und drüber		5	5	5	5							5				https://de.wiktionary.org/wiki/drunter_und_dr%C3%BCber	https://en.wiktionary.org/wiki/drunter_und_dr%C3%BCber
dumm wie Bohnenstroh	701	701	wie Bohnenstroh		2	2	2	2							2	dumm wie Bohnenstroh			https://de.wiktionary.org/wiki/dumm_wie_Bohnenstroh	
dumm wie Brot	702	702	dumm wie Brot		2	2	2	2							2	dumm wie Bohnenstroh			https://de.wiktionary.org/wiki/dumm_wie_Brot	
dumm wie hundert Meter Feldweg sein	703	703	dumm wie hundert Meter Feldweg		0	0	0	0							0	dumm wie Bohnenstroh			https://de.wiktionary.org/wiki/dumm_wie_hundert_Meter_Feldweg_sein	
durch Abwesenheit glänzen	704	704	durch Abwesenheit + glänz		1	2 -> 1	1	2 -> 1							1				https://de.wiktionary.org/wiki/durch_Abwesenheit_gl%C3%A4nzen	
durch den Kakao ziehen	705	705	durch den Kakao + ZIEHEN		6	6 -> 6	6	6 -> 6							6	jemanden durch den Kakao ziehen			https://de.wiktionary.org/wiki/durch_den_Kakao_ziehen	https://en.wiktionary.org/wiki/durch_den_Kakao_ziehen
durch den Tüdel kommen	706	706	durch den Tüdel + KOMMEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/durch_den_T%C3%BCdel_kommen	
durch die rosarote Brille sehen	707	707	durch die rosarote Brille + SEHEN		0	1 -> 0	0	1 -> 0							0	etwas durch die rosarote Brille sehen			https://de.wiktionary.org/wiki/durch_die_rosarote_Brille_sehen	
durch Mark und Bein gehen	708	708	durch Mark und Bein		0	0	0	0							0				https://de.wiktionary.org/wiki/durch_Mark_und_Bein_gehen	
durch und durch	709	709	durch und durch		57	57	58	58							57				https://de.wiktionary.org/wiki/durch_und_durch	
Däumchen drehen	710	710	Däumchen + dreh		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/D%C3%A4umchen_drehen	https://en.wiktionary.org/wiki/D%C3%A4umchen_drehen
dümmer sein, als die Polizei erlaubt	711	711	dümmer + SEIN + als die Polizei erlaubt\w*		1	45 -> 16 -> 1	1	45 -> 16 -> 1							1				https://de.wiktionary.org/wiki/d%C3%BCmmer_sein%2C_als_die_Polizei_erlaubt	
Ei des Columbus	712	712	Ei des Columbus		0	0	0	0							0	Ei des Kolumbus		Ei des Kolumbus	https://de.wiktionary.org/wiki/Ei_des_Columbus	
Ei des Kolumbus	713	713	Ei des Kolumbus		2	2	2	2							2	Ei des Kolumbus			https://de.wiktionary.org/wiki/Ei_des_Kolumbus	https://en.wiktionary.org/wiki/Ei_des_Kolumbus
eierlegende Wollmilchsau	714	714	eierlegende Wollmilchsau		0	0	0	0							0				https://de.wiktionary.org/wiki/eierlegende_Wollmilchsau	
Eierstöcke in der Hose haben	715	715	Eierstöcke in der Hose + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/Eierst%C3%B6cke_in_der_Hose_haben	
eigene vier Wände	716	716	eigene vier Wände		0	0	0	0							0				https://de.wiktionary.org/wiki/eigene_vier_W%C3%A4nde	
ein Aas auf der Bassgeige sein	717	717	ein Aas + auf der Bassgeige + SEIN		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0	ein Aas auf der Bassgeige sein			https://de.wiktionary.org/wiki/ein_Aas_auf_der_Bassgeige_sein	
ein abgebrochener Gartenzwerg	718	718	ein abgebrochener Gartenzwerg	abgebrochene\w* Gartenzwergs?	0	0	0	0	0	0	0	0			0		ein abgebrochener Riese		https://de.wiktionary.org/wiki/ein_abgebrochener_Gartenzwerg	
ein abgebrochener Riese	719	719	ein abgebrochener Riese	abgebrochene\w* Riese	0	0	0	0	0	0	0	0			0		ein abgebrochener Riese		https://de.wiktionary.org/wiki/ein_abgebrochener_Riese	https://en.wiktionary.org/wiki/ein_abgebrochener_Riese
ein alter Hase sein	720	720	ein alter Hase + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_alter_Hase_sein	
ein alter Hut sein	721	721	ein alte[rmn] Hut + SEIN	ein alter Hut + SEIN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	alter Hut	alter Hut		https://de.wiktionary.org/wiki/ein_alter_Hut_sein	
ein alter Zopf sein	722	722	ein alter Zopf + SEIN		0	0 -> 0	0	0 -> 0							0		alter Hut		https://de.wiktionary.org/wiki/ein_alter_Zopf_sein	
ein armes Schwein sein	723	723	ein armes Schwein + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_armes_Schwein_sein	
ein Ass auf der Bassgeige sein	724	724	ein Ass auf der Bassgeige		0	0	0	0							0	ein Aas auf der Bassgeige sein		ein Aas auf der Bassgeige sein	https://de.wiktionary.org/wiki/ein_Ass_auf_der_Bassgeige_sein	
ein Auge auf etwas werfen	725	725	ein Auge auf + WERFEN		61	66 -> 61	61	66 -> 61							61				https://de.wiktionary.org/wiki/ein_Auge_auf_etwas_werfen	https://en.wiktionary.org/wiki/ein_Auge_auf_etwas_werfen
ein Auge riskieren	726	726	ein Auge + riskier		0	170 -> 0	0	170 -> 0							0				https://de.wiktionary.org/wiki/ein_Auge_riskieren	
ein Auge zudrücken	727	727	ein Auge + \bzu(\b|drück|zudrücken|gedrückt) + drück	ein Auge + \bzu(\b|d|z|g) + drück	8	170 -> 46 -> 8	8	170 -> 47 -> 8	8	170 -> 46 -> 8	8	170 -> 48 -> 8			8				https://de.wiktionary.org/wiki/ein_Auge_zudr%C3%BCcken	https://en.wiktionary.org/wiki/ein_Auge_zudr%C3%BCcken
ein Bad nehmen	728	728	ein Bad + NEHMEN		20	57 -> 20	20	57 -> 20							20				https://de.wiktionary.org/wiki/ein_Bad_nehmen	
ein Brett vor dem Kopf haben	729	729	ein Brett vor dem Kopf + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_Brett_vor_dem_Kopf_haben	
ein düsteres Bild zeichnen	730	730	ein düsteres Bild + zeichn		4	4 -> 4	4	4 -> 4							4				https://de.wiktionary.org/wiki/ein_d%C3%BCsteres_Bild_zeichnen	
ein Ei legen	731	731	ein Ei + LEGEN		32	70 -> 32	32	70 -> 32					0	0/32; one idiomatic match, but not with the meaning given in Wiktionary	0				https://de.wiktionary.org/wiki/ein_Ei_legen	
ein Einsehen haben	732	732	ein Einsehen + HABEN		4	5 -> 4	4	5 -> 4							4	ein Einsehen haben			https://de.wiktionary.org/wiki/ein_Einsehen_haben	
ein Esel in der Löwenhaut	733	733	ein Esel in der Löwenhaut	Esel in der Löwenhaut	0	0	0	0	2	2	2	2			0				https://de.wiktionary.org/wiki/ein_Esel_in_der_L%C3%B6wenhaut	
ein Exempel statuieren	734	734	ein Exempel + statuier		23	26 -> 23	23	26 -> 23							23				https://de.wiktionary.org/wiki/ein_Exempel_statuieren	https://en.wiktionary.org/wiki/ein_Exempel_statuieren
ein falscher Fuffziger	735	735	ein falscher Fuffziger	falscher Fuffziger	1	1	1	1	4	4	4	4			1				https://de.wiktionary.org/wiki/ein_falscher_Fuffziger	
ein falsches Spiel spielen	736	736	ein falsches Spiel + spiel		4	10 -> 4	10	10 -> 10							4	ein falsches Spiel spielen			https://de.wiktionary.org/wiki/ein_falsches_Spiel_spielen	
ein falsches Spiel treiben	737	737	ein falsches Spiel + TREIBEN		4	10 -> 4	4	10 -> 4							4	ein falsches Spiel spielen		ein falsches Spiel spielen	https://de.wiktionary.org/wiki/ein_falsches_Spiel_treiben	
ein Fass aufmachen	738	738	ein Fass + \bauf(\b|m|z|g) + _MACHEN		0	26 -> 5 -> 0	0	26 -> 6 -> 0							0				https://de.wiktionary.org/wiki/ein_Fass_aufmachen	https://en.wiktionary.org/wiki/ein_Fass_aufmachen
ein Fass ohne Boden sein	739	739	ein Fass ohne Boden + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_Fass_ohne_Boden_sein	
ein Fingerhut	740	740	ein\w* Fingerhut		1	1	1	1							1				https://de.wiktionary.org/wiki/ein_Fingerhut	
ein frühes Grab finden	741	741	ein frühes Grab + FINDEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_fr%C3%BChes_Grab_finden	https://en.wiktionary.org/wiki/ein_fr%C3%BChes_Grab_finden
ein für alle Mal	742	742	ein für alle Mal		34	34	35	35							34	ein für alle Mal			https://de.wiktionary.org/wiki/ein_f%C3%BCr_alle_Mal	https://en.wiktionary.org/wiki/ein_f%C3%BCr_alle_Mal
ein für alle Mal aus der Welt schaffen	743	743	für alle Mal + aus der Welt + schaff		0	35 -> 0 -> 0	0	36 -> 0 -> 0							0	ein für alle Mal			https://de.wiktionary.org/wiki/ein_f%C3%BCr_alle_Mal_aus_der_Welt_schaffen	
ein Gedächtnis wie ein Sieb haben	744	744	Gedächtnis + wie ein Sieb + HABEN		0	603 -> 0 -> 0	0	605 -> 0 -> 0							0	ein Gedächtnis wie ein Sieb haben			https://de.wiktionary.org/wiki/ein_Ged%C3%A4chtnis_wie_ein_Sieb_haben	
ein Gemüt wie ein Fleischerhund haben	745	745	ein Gemüt wie ein Fleischerhund + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_Gem%C3%BCt_wie_ein_Fleischerhund_haben	
ein gerüttelt Maß	746	746	ein gerüttelt Maß	\bgerüttelt\w* Maß	0	0	0	0	0	0	0	0			0				https://de.wiktionary.org/wiki/ein_ger%C3%BCttelt_Ma%C3%9F	
ein Gruß aus der Küche	747	747	ein\w* Gruß aus der Küche	ein Gruß aus der Küche	0	0	0	0	0	0	0	0			0				https://de.wiktionary.org/wiki/ein_Gru%C3%9F_aus_der_K%C3%BCche	
ein Haar in der Suppe finden	748	748	Haar in der Suppe + FINDEN		0	2 -> 0	0	2 -> 0							0	Haar in der Suppe			https://de.wiktionary.org/wiki/ein_Haar_in_der_Suppe_finden	
ein Haus machen	749	749	ein Haus + MACHEN + MANUAL_REVIEW		4	725 -> 4 -> 4	5	725 -> 5 -> 5					0	0/4	0				https://de.wiktionary.org/wiki/ein_Haus_machen	
ein heißes Eisen	750	750	\b[Hh]eiße\w* Eisen\b	heiße\w* Eisen	9	9	9	9	9	9	9	9			9	ein heißes Eisen			https://de.wiktionary.org/wiki/ein_hei%C3%9Fes_Eisen	
ein heißes Eisen anfassen	751	751	heiß + Eisen + \ban(\b|f|z|g) + fass		0	470 -> 0 -> 0 -> 0	0	470 -> 0 -> 0 -> 0							0	ein heißes Eisen			https://de.wiktionary.org/wiki/ein_hei%C3%9Fes_Eisen_anfassen	
ein Herz fassen	752	752	ein Herz + fass		8	104 -> 8	9	105 -> 9							8	sich ein Herz fassen			https://de.wiktionary.org/wiki/ein_Herz_fassen	
ein Herz und eine Seele sein	753	753	ein Herz und eine Seele + SEIN		5	13 -> 5	5	13 -> 5							5				https://de.wiktionary.org/wiki/ein_Herz_und_eine_Seele_sein	
ein Hintertürchen offenhalten	754	754	ein Hintertürchen + \boffen(\b|h|z|g) + _HALTEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/ein_Hintert%C3%BCrchen_offenhalten	
ein Hirn wie ein Nudelsieb haben	755	755	ein Hirn + wie ein Nudelsieb + HABEN		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0				https://de.wiktionary.org/wiki/ein_Hirn_wie_ein_Nudelsieb_haben	
ein Händchen für etwas haben	756	756	ein glückliches Händchen + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_H%C3%A4ndchen_f%C3%BCr_etwas_haben	
ein Kind des Todes sein	757	757	ein\w* Kind des Todes	Kind des Todes	0	0	0	0	0	0	0	0			0				https://de.wiktionary.org/wiki/ein_Kind_des_Todes_sein	
ein klein wenig	758	758	ein klein wenig		8	8	8	8							8				https://de.wiktionary.org/wiki/ein_klein_wenig	
ein Königreich für ein …	759	759	ein Königreich für ein		1	1	1	1							1				https://de.wiktionary.org/wiki/ein_K%C3%B6nigreich_f%C3%BCr_ein_%E2%80%A6	
ein Machtwort sprechen	760	760	ein Machtwort + SPRECHEN		2	9 -> 2	2	9 -> 2							2				https://de.wiktionary.org/wiki/ein_Machtwort_sprechen	https://en.wiktionary.org/wiki/ein_Machtwort_sprechen
ein Mann von Welt	761	761	Mann von Welt	ein Mann von Welt	6	6	6	6	3	3	3	3			6	ein Mann von Welt			https://de.wiktionary.org/wiki/ein_Mann_von_Welt	
ein Mann, ein Wort	762	762	ein Mann, ein Wort		2	2	2	2							2				https://de.wiktionary.org/wiki/ein_Mann%2C_ein_Wort	
ein paar Zerquetschte	763	763	ein paar Zerquetschte		0	0	0	0							0				https://de.wiktionary.org/wiki/ein_paar_Zerquetschte	
ein Prediger in der Wüste	764	764	Prediger + in der Wüste		1	878 -> 1	1	879 -> 1							1	ein Rufer in der Wüste		ein Rufer in der Wüste	https://de.wiktionary.org/wiki/ein_Prediger_in_der_W%C3%BCste	
ein Rad abhaben	765	765	ein Rad + \bab(\b|h|z|g) + _HABEN		0	62 -> 1 -> 0	0	63 -> 1 -> 0							0				https://de.wiktionary.org/wiki/ein_Rad_abhaben	
ein Raub der Flammen werden	766	766	ein Raub der Flammen + WERDEN		41	41 -> 41	41	41 -> 41							41		in Flammen aufgehen		https://de.wiktionary.org/wiki/ein_Raub_der_Flammen_werden	
ein Ritt über den Bodensee	767	767	ein Ritt über den Bodensee	Ritt + über den Bodensee	0	0	0	0	3	140 -> 3	3	298 -> 3			0				https://de.wiktionary.org/wiki/ein_Ritt_%C3%BCber_den_Bodensee	
ein Rohr verlegen	768	768	ein Rohr + \bverleg		0	45 -> 0	0	45 -> 0							0				https://de.wiktionary.org/wiki/ein_Rohr_verlegen	https://en.wiktionary.org/wiki/ein_Rohr_verlegen
ein rosiges Bild zeichnen	769	769	ein rosiges Bild + zeichn		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/ein_rosiges_Bild_zeichnen	
ein Rufer in der Wüste	770	770	Rufer + in der Wüste		5	25 -> 5	5	25 -> 5							5	ein Rufer in der Wüste			https://de.wiktionary.org/wiki/ein_Rufer_in_der_W%C3%BCste	
ein Schelm, wer Böses dabei denkt	771	771	ein Schelm + Böses + dabei + DENKEN		0	2 -> 0 -> 0 -> 0	0	2 -> 0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/ein_Schelm%2C_wer_B%C3%B6ses_dabei_denkt	
ein Schnittlauch auf allen Suppen sein	772	772	ein Schnittlauch + auf allen Suppen + SEIN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/ein_Schnittlauch_auf_allen_Suppen_sein	
ein Schuss in den Ofen	773	773	ein Schuss + in den Ofen	Schuss + in den Ofen	0	59 -> 0	0	59 -> 0	0	861 -> 0	0	862 -> 0			0				https://de.wiktionary.org/wiki/ein_Schuss_in_den_Ofen	
ein schöner Zug von jemandem sein	774	774	ein schöner Zug (da)?von + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ein_sch%C3%B6ner_Zug_von_jemandem_sein	
ein Silberstreifen am Horizont	775	775	ein Silberstreifen am Horizont	Silberstreifen + am Horizont	0	0	0	0	0	2 -> 0	0	2 -> 0			0	ein Silberstreifen am Horizont			https://de.wiktionary.org/wiki/ein_Silberstreifen_am_Horizont	
ein Spiel mit dem Feuer	776	776	Spiel + mit dem Feuer	ein Spiel + mit dem Feuer	4	15616 -> 4	4	15639 -> 4	0	776 -> 0	0	776 -> 0			4	ein Spiel mit dem Feuer			https://de.wiktionary.org/wiki/ein_Spiel_mit_dem_Feuer	
ein Tropfen auf den heißen Stein	777	777	Tropfen + auf + heißen Stein	ein\w* Tropfen + auf + heißen Stein	2	190 -> 28 -> 2	2	203 -> 32 -> 2	2	42 -> 12 -> 2	2	42 -> 12 -> 2			2				https://de.wiktionary.org/wiki/ein_Tropfen_auf_den_hei%C3%9Fen_Stein	https://en.wiktionary.org/wiki/ein_Tropfen_auf_den_hei%C3%9Fen_Stein
ein und aus gehen	778	778	ein und aus + GEHEN		34	39 -> 34	34	39 -> 34							34				https://de.wiktionary.org/wiki/ein_und_aus_gehen	
ein Unding sein	779	779	ein Unding + SEIN		3	3 -> 3	3	3 -> 3							3				https://de.wiktionary.org/wiki/ein_Unding_sein	
ein wandelndes Lexikon sein	780	780	ein wandelndes Lexikon + SEIN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/ein_wandelndes_Lexikon_sein	
ein wenig	781	781	ein wenig		864	864	864	864							864				https://de.wiktionary.org/wiki/ein_wenig	
ein Wetter zum Eierlegen	782	782	Wetter zum Eierlegen		0	0	0	0							0				https://de.wiktionary.org/wiki/ein_Wetter_zum_Eierlegen	
