headword	orig order	re1	re2
ein Unding sein	779	ein Unding + SEIN	
ein wandelndes Lexikon sein	780	ein wandelndes Lexikon + SEIN	
ein wenig	781	ein wenig	
ein Wetter zum Eierlegen	782	Wetter zum Eierlegen	
einander die Bälle zuspielen	783	die Bälle + \bzu(\b|s|z|g) + spiel	
einander nichts schenken	784	einander + nichts + schenk	
eine Aktie zeichnen	785	eine Akite + zeichn	
eine andere Sprache sprechen	786	eine andere Sprache + SPRECHEN	
eine Anleihe zeichnen	787	eine Anleihe + zeichn	
eine Bauchlandung machen	788	eine Bauchlandung + MACHEN	
eine bittere Pille schlucken müssen	789	eine bittere Pille + schluck	eine bittere Pille + schlucken + MÜSSEN
eine deutliche Sprache sprechen	790	eine deutliche Sprache + SPRECHEN	eine klare Sprache + SPRECHEN
eine dicke Lippe riskieren	791	eine dicke Lippe + riskier	
eine Doktorarbeit aus etwas machen	792	eine Doktorarbeit aus + MACHEN	
eine Frau von Welt	793	Frau von Welt	eine Frau von Welt
eine gute Figur machen	794	eine gute Figur + MACHEN	
eine halbe Portion	795	eine halbe Portion+ MANUAL_REVIEW	halbe\w* Portion + MANUAL_REVIEW
eine harte Nuss zu knacken haben	796	eine harte Nuss zu knacken	
eine heilige Kuh schlachten	797	heilige Kuh + schlacht	
eine Lage schmeißen	798	eine Lage + SCHMEIẞEN	
eine lange Leitung haben	799	eine lange Leitung + HABEN	
eine Lanze brechen	800	eine Lanze + BRECHEN	
eine Leiche im Keller haben	801	Leichen? + im Keller + MANUAL_REVIEW	
eine Meise haben	802	eine Meise + HABEN	
eine Mütze Schlaf	803	Mütze Schlaf	eine Mütze Schlaf
eine Nacht darüber schlafen	804	eine Nacht d(a)?rüber + SCHLAFEN	
eine Nadel fallen hören können	805	eine Nadel + fallen hören + KÖNNEN	
eine Party schmeißen	806	eine Party + SCHMEIẞEN	
eine rauchen	807	eine + RAUCHEN + MANUAL_REVIEW	
eine Rolle spielen	808	eine Rolle + spiel	
eine ruhige Kugel schieben	809	ruhige Kugel + SCHIEBEN	
eine Schlange am Busen nähren	810	eine Schlange am Busen + nähr	
eine Schraube locker haben	811	eine Schraube locker + HABEN	
eine schöne Leich	812	eine schöne Leich	schöne\w* Leich
eine sichere Bank sein	813	eine sichere Bank + SEIN	
eine Standpauke halten	814	eine Standpauke + HALTEN	
eine weiße Weste haben	815	eine weiße Weste	
eine Wissenschaft für sich sein	816	eine Wissenschaft + für SICHA + SEIN	
einem nackten Mann in die Tasche fassen	817	einem nackten Mann + in die Tasche + fass	einem nackten Mann + in die Tasche
einem nackten Mann in die Tasche greifen	818	einem nackten Mann in die Tasche + GREIFEN	einem nackten Mann + in die Tasche
einem Schatten nachjagen	819	einem Schatten + \bnach(\b|j|z|g) + jag	
einen abbeißen	820	einen + \bab(\b|b|z|g) + _BEIẞEN + MANUAL_REVIEW	
einen Abflug machen	821	einen Abflug + MACHEN	
einen Abgang machen	822	einen Abgang + MACHEN	Abgang + MACHEN
einen abseilen	823	einen + \bab(\b|s|z|g) + seil	
einen alten Zopf abschneiden	824	einen alten Zopf + \bab(\b|s|z|g) + _SCHNEIDEN	
einen am Rad haben	825	einen am Rad + HABEN	
einen an der Klatsche haben	826	einen an der Klatsche + HABEN	
einen Ausflug halten	827	einen Ausflug + HALTEN	
einen Bart haben	828	einen Bart + HABEN	
einen Besen fressen	829	einen Besen + FRESSEN	
einen Blick werfen	830	einen Blick + WERFEN	
einen Braten in der Röhre haben	831	einen Braten in der Röhre + HABEN	
einen Clown gefrühstückt haben	832	einen Clown + gefrühstückt + HABEN	
einen Dachschaden haben	833	einen Dachschaden + HABEN	
einen fahren lassen	834	einen fahren + LASSEN	
einen fahrenlassen	835	einen fahrenl + MANUAL_REVIEW	
einen Fleischergang machen	836	einen Fleischergang + MACHEN	
einen fliegen lassen	837	einen fliegen + LASSEN	
einen Frosch im Hals haben	838	einen Frosch im Hals + HABEN	
einen Frosch im Halse haben	839	einen Frosch im Halse + HABEN	
einen Gang hochschalten	840	einen Gang + \bhoch(\b|s|z|g) + schalt	
einen grünen Daumen haben	841	einen grünen Daumen + HABEN	
einen guten Schnitt machen	842	einen guten Schnitt + MACHEN	
einen Hermann machen	843	einen Hermann + MACHEN	
einen Hund aus dem Ofen locken	844	einen Hund + aus dem Ofen + lock	
einen im Tee haben	845	einen im Tee + HABEN	
einen in der Krone haben	846	einen in der Krone + HABEN	
einen Kloß im Hals haben	847	einen Kloß im Hals + HABEN	
einen Knall haben	848	einen Knall + HABEN	
einen Korb bekommen	849	einen Korb + BEKOMMEN	
einen Korb kriegen	850	einen Korb + KRIEGEN	
einen Krebs fangen	851	einen Krebs + FANGEN	
einen kühlen Kopf bewahren	852	einen kühlen Kopf + bewahr	einen kühlen Kopf + BEHALTEN
einen Lauf haben	853	einen Lauf + HABEN	
einen Metzgergang machen	854	einen Metzgergang + MACHEN	
einen Metzgersgang machen	855	einen Metzgersgang + MACHEN	
einen Mohren weiß waschen wollen	856	einen Mohren + weiß + waschen + WOLLEN	
einen Narren an jemandem gefressen haben	857	\b(Narren|Närrin)\b + gefressen	
einen Neger abseilen	858	einen Neger + \bab(\b|s|z|g) + seil	
einen Pik auf jemanden haben	859	einen Pik auf + HABEN	
einen rauchen	860	einen + RAUCHEN + MANUAL_REVIEW	
einen Reif anstecken	861	einen Reif + \ban(\b|s|z|g) + _STECKEN	
einen Reif ausstecken	862	einen Reif + \baus(\b|s|z|g) + _STECKEN	
einen runterholen	863	einen + \brunter(\b|h|z|g) + _HOLEN	
einen Rückzieher machen	864	einen Rückzieher + MACHEN	
einen Schatten haben	865	einen Schatten + HABEN	
einen Schlachtergang machen	866	einen Schlachtergang + MACHEN	
einen Schlussstrich ziehen	867	einen Schlusstrich + ZIEHEN	
einen Schmarren	868	einen Schmarren	
einen Schnitt machen	869	einen Schnitt + MACHEN	
einen sitzen haben	870	einen sitzen + HABEN	
einen Sprung in der Schüssel haben	871	einen Sprung in der Schüssel + HABEN	
einen Stock im Arsch haben	872	einen Stock im Arsch + HABEN	
einen Türken bauen	873	einen Türken + BAUEN + MANUAL_REVIEW	
einen Versuchsballon starten	874	einen Versuchsballon + start	
einen Vogel haben	875	einen Vogel + HABEN + MANUAL_REVIEW	
einen Zahn zulegen	876	Zahn zu(\b|leg|zulegen|gelegt) + _LEGEN	einen Zahn zu(\b|leg|zulegen|gelegt) + _LEGEN
einen zur Brust nehmen	877	einen + zur Brust + NEHMEN	
einer Sache auf den Grund gehen	878	auf den Grund + GEHEN	
einer Sache freien Lauf lassen	879	freien Lauf + LASSEN	
einer Sache ihren Lauf lassen	880	SEINMA Lauf + LASSEN	
einmal hü und einmal hott sagen	881	einmal hü und einmal hott + SAGEN	
einmal mehr	882	einmal mehr	
einpacken können	883	einpacken + KÖNNEN	
eins a	884	eins a	
eins auf den Pelz brennen	885	auf den Pelz + BRENNEN	
eins hinter die Löffel geben	886	eins hinter die Löffel + GEBEN	
eins und eins zusammenzählen	887	eins und eins + zusammen	zwei und zwei + zusammen
einschlagen wie eine Bombe	888	wie eine Bombe + \bein(\b|schl.g|zuschlagen|geschlagen) + _SCHLAGEN	wie eine Bombe + \bein(\b|s|z|g) + _SCHLAGEN
einstürzen wie ein Kartenhaus	889	wie ein Kartenhaus	
einzig und allein	890	einzig und allein	
empfindlich wie eine Mimose sein	891	empfindlich + wie eine Mimose	
erfroren sind schon viele, aber erstunken ist noch keiner	892	erfroren sind schon viele + erstunken + noch + keiner	
erlaubt ist, was gefällt	893	erlaubt ist, was gefällt	
erste Sahne sein	894	erste Sahne + SEIN	
Erster von hinten	895	Erster von hinten	
erstunken und erlogen	896	erstunken und erlogen	
es darauf ankommen lassen	897	es + darauf ankommen + LASSEN	
es drauf ankommen lassen	898	es + drauf ankommen + LASSEN	
es faustdick hinter den Ohren haben	899	faustdick hinter den Ohren + HABEN	
es geht die Rede	900	es + die Rede + GEHEN	
es geht um die Wurst	901	um die Wurst + GEHEN	
es ist höchste Eisenbahn	902	höchste Eisenbahn + SEIN	
es ist um jemanden geschehen	903	um + geschehen + SEIN + MANUAL_REVIEW	
es jemandem gleichtun	904	es + \bgleich(t|g|\b) + GLEICHTUN	
es jemandem recht machen	905	es + recht + MACHEN	
es juckt jemandem in den Fingern	906	in den Fingern + juck	
es koste, was es wolle	907	es koste + was es wolle	
es krachen lassen	908	es krachen + LASSEN	
es kurz machen	909	es kurz + MACHEN	
es mit jemandem treiben	910	es + mit + TREIBEN + MANUAL_REVIEW	
es sich anders überlegen	911	es + SICH + anders + \büber(\b|l|z|g) + _LEGEN	
es zieht wie Hechtsuppe	912	wie Hechtsuppe + ZIEHEN	
es zieht wie in einem Vogelhaus	913	wie in einem Vogelhaus + ZIEHEN	
es zu bunt treiben	914	es + zu bunt + TREIBEN	
es über sich gewinnen, etwas zu tun	915	es + über SICHB + GEWINNEN	
etwas am Kerbholz haben	916	etwas am Kerbholz + HABEN	
etwas an den Haaren herbeiziehen	917	an den Haaren + \bherbei(\b|z|gezogen) + _ZIEHEN	an den Haaren + \bherbei(\b|z|g) + _ZIEHEN
etwas an den Mann bringen	918	an den Mann + BRINGEN	
etwas an den Nagel hängen	919	an den Nagel + häng	
etwas an den Tag legen	920	an den Tag + LEGEN	
etwas an die große Glocke hängen	921	an die große Glocke + HÄNGENHÄNGTE	
etwas an die Wand fahren	922	an die Wand + FAHREN	
etwas auf Abbruch verkaufen	923	auf Abbruch + verkauf	
etwas auf dem Buckel haben	924	auf dem Buckel + HABEN	
etwas auf dem Kasten haben	925	auf dem Kasten + HABEN	
etwas auf dem Kerbholz haben	926	auf dem Kerbholz	
etwas auf den Kopf stellen	927	auf den Kopf + STELLEN	
etwas auf der Pfanne haben	928	auf der Pfanne + HABEN	
etwas auf die hohe Kante legen	929	auf die hohe Kante + LEGEN	
etwas auf die lange Bank schieben	930	auf die lange Bank + SCHIEBEN	
etwas auf die leichte Schulter nehmen	931	auf die leichte Schulter + NEHMEN	
etwas auf die Sprünge helfen	932	auf die Sprünge + HELFEN	
etwas auf Eis legen	933	auf Eis + LEGEN	
etwas auf Pump kaufen	934	auf Pump + KAUFEN	
etwas auf seine Kappe nehmen	935	auf SEINFA Kappe + NEHMEN	
etwas aufs Spiel setzen	936	auf Spiel + SETZEN	
etwas aufsaugen wie ein Schwamm	937	wie ein Schwamm + \bauf(\b|s|z|g) + _SAUGEN	
etwas aus dem Boden stampfen	938	aus dem Boden + stampf	
etwas aus dem Ärmel schütteln	939	aus dem Ärmel + schütt(el|le)	
etwas aus den Angeln heben	940	aus den Angeln + HEBEN	
etwas aus der Taufe heben	941	aus der Taufe + HEBEN	
etwas aus der Welt schaffen	942	aus der Welt + schaff	
etwas ausbaden müssen	943	ausbaden + MÜSSEN	
etwas ausgefressen haben	944	etwas ausgefressen + HABEN	
etwas außer Dienst stellen	945	außer Dienst + STELLEN	
etwas den letzten Schliff geben	946	den letzten Schliff + GEBEN	
etwas die Spitze abbrechen	947	die Spitze + \bab(\b|b|z|g) + _BRECHEN	
etwas die Spitze nehmen	948	die Spitze + NEHMEN	
etwas durch die rosarote Brille sehen	949	durch die rosarote Brille + SEHEN	
etwas eine Abfuhr erteilen	950	eine Abfuhr + \berteil	
etwas für bare Münze nehmen	951	für bare Münze + NEHMEN	
etwas für einen Apfel und ein Ei kaufen	952	für einen Apfel und ein Ei + KAUFEN	
etwas fürchten wie der Teufel das Weihwasser	953	wie der Teufel + das Weihwasser	
etwas gebacken kriegen	954	etwas gebacken + KRIEGEN	
etwas gegen die Wand fahren	955	gegen die Wand + FAHREN	
etwas geht jemandem am Arsch vorbei	956	am Arsch + \bvorbei(\b|z|g) + _GEHEN	
etwas Herr werden	957	Herr + WERDEN + MANUAL_REVIEW	
etwas hängt einem zum Hals raus	958	einem zum Hals + \braus(\b|h|z|g) + häng	
etwas im Auge haben	959	im Auge + HABEN	
etwas im Griff haben	960	im Griff + HABEN	
etwas im Keim ersticken	961	im Keim + erstick	
etwas im Kopf haben	962	im Kopf + HABEN	
etwas im Schilde führen	963	im Schilde + FÜHREN	
etwas im Urin haben	964	im Urin + HABEN	
etwas im Urin spüren	965	im Urin + spür	
etwas in Abrede stellen	966	in Abrede + STELLEN	
etwas in Angriff nehmen	967	in Angriff + NEHMEN	
etwas in Brand setzen	968	in Brand + SETZEN	
etwas in Brand stecken	969	in Brand + STECKEN	
etwas in den falschen Hals bekommen	970	in den falschen Hals + BEKOMMEN	
etwas in den Raum stellen	971	in den Raum + STELLEN	
etwas in den Sand setzen	972	in den Sand + SETZEN	
etwas in der Tasche haben	973	in der Tasche + HABEN	
etwas in die Hand nehmen	974	in die Hand + NEHMEN	
etwas in die Wege leiten	975	in die Wege + LEITEN	
etwas in Gang bringen	976	in Gang + BRINGEN	
etwas in Gang setzen	977	in Gang + SETZEN	
etwas in Grenzen halten	978	in Grenzen + HALTEN	
etwas in Kauf nehmen	979	in Kauf + NEHMEN + MANUAL_REVIEW	
etwas in petto haben	980	etwas in petto + HABEN	
etwas in Schuss halten	981	in Schuss + HALTEN	
etwas in Schutt und Asche legen	982	in Schutt und Asche + LEGEN	
etwas in vollen Zügen genießen	983	in vollen Zügen + GENIEẞEN	
etwas in- und auswendig kennen	984	auswendig + KENNEN	
etwas ins Auge fassen	985	ins Auge + fass	
etwas ins Leben rufen	986	ins Leben + RUFEN	
etwas ist so wichtig, wie wenn ein Sack Reis in China umfällt	987	wichtig + ein Sack Reis + in China + umfällt	
etwas ist zum Mäusemelken	988	zum Mäusemelken + SEIN	
etwas keinen Abbruch tun	989	keinen Abbruch + TUN	
etwas kommt jemandem spanisch vor	990	spanisch + \bvor(\b|k.m|zukommen|gekommen) + _KOMMEN	spanisch + \bvor(\b|k|z|g) + _KOMMEN
etwas Lügen strafen	991	Lügen + straf	
etwas mit Argusaugen beobachten	992	mit Argusaugen + beobachte	
etwas mit der Muttermilch aufsaugen	993	mit der Muttermilch + \bauf(\b|s|z|g) + _SAUGEN	
etwas mit der Muttermilch einsaugen	994	mit der Muttermilch + \bein(\b|s|z|g) + _SAUGEN	
etwas mit einem lachenden und einem weinenden Auge sehen	995	mit einem lachendem + weinenden + SEHEN	
etwas mit Kusshand nehmen	996	mit Kusshand + NEHMEN	
etwas mitgehen lassen	997	mitgehen + LASSEN	
etwas nicht auf sich sitzen lassen	998	nicht auf SICHB sitzen + LASSEN	
etwas Revue passieren lassen	999	Revue passieren + LASSEN	
etwas rund machen	1000	rund + MACHEN + MANUAL_REVIEW	
etwas rückgängig machen	1001	rückgängig + MACHEN	
etwas satt haben	1002	satt + HABEN	satt + _HABEN
etwas sein Eigen nennen	1003	sein Eigen + NENNEN	
etwas unter Dach und Fach bringen	1004	unter Dach und Fach + BRINGEN	
etwas unter die Lupe nehmen	1005	unter die Lupe + NEHMEN	
etwas vom Stapel lassen	1006	vom Stapel + LASSEN	
etwas vom Zaun brechen	1007	vom Zaun + BRECHEN	
etwas vor die Wand fahren	1008	vor die Wand + FAHREN	
etwas wörtlich nehmen	1009	wörtlich + NEHMEN	
etwas zu den Akten legen	1010	zu den Akten + LEGEN	
etwas zu Geld machen	1011	zu Geld + MACHEN	
etwas zu hinterlistigen Zwecken verwenden	1012	zu hinterlistigen Zwecken + VERWENDEN	
etwas zu Tode hetzen	1013	zu Tode + hetz	
etwas zu Tode reiten	1014	zu Tode + REITEN	
etwas zum Besten geben	1015	zum Besten + GEBEN	
etwas zur Schau stellen	1016	zur Schau + STELLEN	
etwas zur Seite legen	1017	zur Seite + LEGEN	
etwas zur Sprache bringen	1018	zur Sprache + BRINGEN	
etwas zur Strecke bringen	1019	zur Strecke + BRINGEN	
etwas zwischen die Kiemen bekommen	1020	zwischen die Kiemen + BEKOMMEN	
etwas zwischen die Kiemen kriegen	1021	zwischen die Kiemen + KRIEGEN	
etwas zwischen die Zähne bekommen	1022	zwischen die Zähne + BEKOMMEN	
etwas zwischen die Zähne kriegen	1023	zwischen die Zähne + KRIEGEN	
etwas über den Haufen schmeißen	1024	über den Haufen + SCHMEIẞEN	
etwas über den Haufen werfen	1025	über den Haufen + WERFEN	
etwas über die Bühne bringen	1026	über die Bühne + BRINGEN	
etwas übers Knie brechen	1027	übers Knie + BRECHEN	
Eulen nach Athen tragen	1028	Eulen + nach Athen + TRAGEN	
ewig und drei Tage	1029	ewig und drei Tage	
Fahrt aufnehmen	1030	Fahrt + \bauf(\b|n|zunehmen|genommen) + _NEHMEN	Fahrt + \bauf(\b|n|z|g) + _NEHMEN
falsch wie Galgenholz	1031	wie Galgenholz	
falsche Schlange	1032	falsche Schlange	
Farbe bekennen	1033	Farbe + BEKENNEN	
Fersengeld geben	1034	Fersengeld + GEBEN	
fest im Sattel sitzen	1035	fest im Sattel + SITZEN	
Feuer fangen	1036	Feuer + FANGEN	
Feuer frei	1037	Feuer frei	
Feuer und Flamme sein	1038	Feuer und Flamme + SEIN	
feurige Kohlen auf jemandes Haupt sammeln	1039	feurige Kohlen + Haupt + samm(el|le)	
fit wie ein Turnschuh	1040	fit + wie ein Turnschuh	
fix und fertig	1041	fix und fertig	
fix und foxi	1042	fix und foxi	
fixe Idee	1043	fixe Idee	
Flagge zeigen	1044	Flagge + ZEIGEN	
Flausen im Kopf haben	1045	Flausen im Kopf	
fluchen wie ein Bierkutscher	1046	wie ein Bierkutscher	
fluchen wie ein Landsknecht	1047	wie ein Landsknecht + fluch	
flüssiges Brot	1048	\b[Ff]lüssige[sm]? Brot(es)?\b	
französischer Kuss	1049	französischer Kuss	
frech wie Oskar	1050	frech wie Oskar	
frei Haus	1051	frei Haus	
frei Schnauze	1052	frei Schnauze	
frei von der Leber weg	1053	frei + von der Leber + weg	
frei von der Leber weg reden	1054	frei + von der Leber + \bweg\b + REDEN	
frei von der Leber weg sprechen	1055	frei + von der Leber + \bweg\b + SPRECHEN	
fressen wie ein Scheunendrescher	1056	wie ein Scheunendrescher	
Freund und Feind	1057	Freund und Feind	
frieren wie ein Schneider	1058	wie ein Schneider	
frische Luft schnappen	1059	frische Luft + schnapp	
frische Luft schöpfen	1060	frische Luft + schöpf	
friss, Vogel, oder stirb	1061	friss + Vogel + oder stirb	
frohes Schaffen	1062	frohes Schaffen	
fröhliche Urständ feiern	1063	fröliche Urständ + feier	
Früchte tragen	1064	Früchte + TRAGEN	
früher oder später	1065	früher oder später	
Fuß fassen	1066	Fuß + fass	
für den Arsch sein	1067	für den Arsch	
für den Hugo sein	1068	für den Hugo + SEIN	
für die Katz sein	1069	für die Katz	
für etwas die Hand ins Feuer legen	1070	die Hand ins Feuer + LEGEN	SEINFA Hand ins Feuer + LEGEN
für jemanden die Hand ins Feuer legen	1071	die Hand ins Feuer + LEGEN	
für jemanden die Kastanien aus dem Feuer holen	1072	Kastanien + aus dem Feuer + HOLEN	Kohlen + aus dem Feuer + HOLEN
für jemanden durchs Feuer gehen	1073	für + durchs Feuer + GEHEN	
für jemanden ein Buch mit sieben Siegeln sein	1074	ein Buch + mit sieben Siegeln + SEIN	für + ein Buch + mit sieben Siegeln + SEIN
für jemanden ein Fremdwort sein	1075	für + ein Fremdwort + SEIN	
für lau	1076	für lau	
für sich	1077	für SICHA + MANUAL_REVIEW	
für umme	1078	für umme	
für ’n Appel und ’n Ei	1079	Appel und + Ei	Appel und + Ei + \b[Ff]ür(\b|'|`)
gang und gäbe	1080	gang und gäbe	
ganz Auge und Ohr sein	1081	ganz Auge und Ohr + SEIN	
ganz Ohr sein	1082	ganz Ohr + SEIN	
ganz und gar	1083	ganz und gar	
gar nicht	1084	gar nicht	
Gas geben	1085	Gas + GEBEN	
Geben ist seliger als Nehmen	1086	Geben + seliger + Nehmen	
Geben ist seliger denn Nehmen	1087	Geben + seliger + Nehmen	
gebranntes Kind	1088	\b[Gg]ebrannte[smn]? Kind(er|(e?s)?)\b	gebrannte Kind
gedacht sein	1089	gedacht + SEIN + MANUAL_REVIEW	
Gedanken lesen	1090	Gedanken + LESEN	
geduldig wie ein Lamm	1091	wie ein Lamm + geduldig	
Gefahr laufen	1092	Gefahr + LAUFEN	
gegangen werden	1093	gegangen + WERDEN	
gegen den Strom schwimmen	1094	gegen den Strom + SCHWIMMEN	
gegen eine Mauer reden	1095	gegen eine Mauer + REDEN	
gegen eine Wand reden	1096	gegen eine Wand + REDEN	
gegen Windmühlen kämpfen	1097	gegen Windmühlen + kämpf	
gegeneinander ausspielen	1098	gegeneinander + \baus(\b|spiel|zuspielen|gespielt) + spiel	gegeneinander + \baus(\b|s|z|g) + spiel
Gegensätze ziehen sich an	1099	Gegensätze + SICH + \ban(\b|z|g) + _ZIEHEN	
geh kacken	1100	geh kacken	
geht doch	1101	geht doch	
geht’s noch	1102	geht’s noch	
geil ins Kraut schießen	1103	geil + ins Kraut + SCHIEẞEN	
Geld allein macht nicht glücklich	1104	Geld allein macht nicht glücklich	
Geld genug macht dumme Leute klug	1105	Geld genug macht dumme Leute klug	
Geld regiert die Welt	1106	Geld + die Welt + regier	
Geld stinkt nicht	1107	Geld stinkt nicht	
Geld wie Heu haben	1108	Geld wie Heu + HABEN	
geliefert sein	1109	geliefert + SEIN + MANUAL_REVIEW	
gemeinsame Sache machen	1110	gemeinsame Sache + MACHEN	
genug ist genug	1111	genug ist genug	
gesagt, getan	1112	gesagt, getan	
Geschmacksfäden ziehen	1113	Geschmacksfäden + ZIEHEN	
gesiebte Luft atmen	1114	gesiebte Luft + atme	
gesund wie ein Fisch im Wasser	1115	gesund + wie ein Fisch im Wasser	
Gift und Galle speien	1116	Gift und Galle + spei	
Gift und Galle spucken	1117	Gift und Galle + spuck	
glatt wie ein Aal sein	1118	glatt + wie ein Aal	
glänzen wie ein Judenei	1119	wie ein Judenei + glänz + MANUAL_REVIEW	
glühende Kohlen auf jemandes Haupt sammeln	1120	glühende Kohlen + Haupt + samm(el|le)	
Gnade vor Recht ergehen lassen	1121	Gnade vor Recht + ergehen + LASSEN	
Gold in der Kehle haben	1122	Gold in der Kehle + HABEN	
Gold wert sein	1123	Gold wert + SEIN	
goldener Fallschirm	1124	goldener Fallschirm	
Gott hab ihn selig	1125	Gott hab (ihn|sie) selig	
Gott hab sie selig	1126	Gott hab (ihn|sie) selig	
Gott sei Dank	1127	Gott sei Dank	
Gras über etwas wachsen lassen	1128	Gras über + wachsen + LASSEN	
Griff ins Klo	1129	Griff ins Klo	
grinsen wie ein Honigkuchenpferd	1130	wie ein Honigkuchenpferd	
grobes Geschütz auffahren	1131	grobes Geschütz + \bauf(\b|f|z|g) + _FAHREN	
große Augen machen	1132	große Augen + MACHEN	
große Rosinen im Kopf haben	1133	große Rosinen im Kopf + HABEN	Rosinen im Kopf + HABEN
große Töne spucken	1134	große Töne + spuck	
Grund genug sein	1135	Grund genug + SEIN	
Gruppenbild mit Dame	1136	Gruppenbild mit Dame	
grün und blau schlagen	1137	grün und blau + SCHLAGEN	
grüne Weihnachten	1138	grüne Weihnachten	
grünes Licht geben	1139	grünes Licht + GEBEN	
Grütze im Kopf haben	1140	Grütze im Kopf + HABEN	
gut beieinander sein	1141	gut beieinander	
gut im Zug sein	1142	gut im Zug + SEIN	
gute Karten haben	1143	gute Karten + HABEN	
gute Miene zum bösen Spiel machen	1144	gute Miene zum bösen Spiel + MACHEN	
guten Appetit	1145	guten Appetit	
guten Mutes sein	1146	guten Mutes + SEIN	
guter Dinge	1147	guter Dinge	
guter Hoffnung sein	1148	guter Hoffnung + SEIN	
gutes Geld schlechtem hinterherwerfen	1149	gutes Geld + schlechtem + \bhinterher(\b|w|z|g) + _WERFEN	
gäng und gäbe	1150	gäng und gäbe	
Göttin sei Dank	1151	Göttin sei Dank	
Haare auf den Zähnen haben	1152	Haare auf den Zähne + HABEN	
Hackl im Kreuz	1153	Hackl im Kreuz	
Hahn im Korb sein	1154	Hahn im Korb + SEIN	
Hahn im Korbe sein	1155	Hahn im Korbe + SEIN	
halbes Hemd	1156	\b[Hh]albe[smn]? Hemd(e?s)?\b	
Halbgott in Weiß	1157	Halbgott in Weiß	
halblang machen	1158	halblang + MACHEN	
Hals über Kopf	1159	Hals über Kopf	
Hals- und Beinbruch	1160	Hals-? + und Beinbruch	
halten wie ein Dachdecker	1161	wie ein Dachdecker	
halt’s Maul	1162	halt[’`]s Maul	
Hand an sich legen	1163	Hand an SICHA + LEGEN	
Hand anlegen	1164	Hand + \ban(\b|leg|zulegen|gelegt) + _LEGEN	Hand + \ban(\b|l|z|g) + _LEGEN
Hand aufs Herz	1165	Hand aufs Herz	
Hand und Fuß haben	1166	Hand und Fuß + HABEN + MANUAL_REVIEW	
Hans Dampf in allen Gassen	1167	Hans Dampf + in allen Gassen	
Hans was Heiri	1168	Hans was Heiri	
Hansdampf in allen Gassen	1169	Hansdampf + in allen Gassen	
hart auf hart kommen	1170	hart auf hart + KOMMEN	
hart im Nehmen sein	1171	hart im Nehmen	
hasch mich, ich bin der Frühling	1172	hasch + der Frühling + SEIN	
Haus und Hof	1173	Haus und Hof	
hegen und pflegen	1174	heg + pfleg	
heiße Luft	1175	heiße Luft	
hellhörig werden	1176	hellhörig + WERDEN	
heraus mit der Sprache	1177	(he)?raus mit der Sprache	
Heulen und Zähneklappern	1178	Heulen und Zähneklappern	
heulen wie ein Schlosshund	1179	wie ein Schlosshund + heul	
hie und da	1180	hie und da	
Hier und Jetzt	1181	Hier und Jetzt	
Himmel und Hölle in Bewegung setzen	1182	Himmel und Hölle + in Bewegung + SETZEN	
hin und her	1183	hin und her	
Hin- und Widerrennen	1184	Hin + und Widerrennen	
Hin- und Wiederrennen	1185	Hin + und Wiederrennen	
hinten Lyzeum, vorne Museum	1186	hinten Lyzeum + vorne Museum	
hinter dem Mond leben	1187	hinter dem Mond + LEBEN	
hinter den Kulissen	1188	hinter den Kulissen	hinter die Kulissen
hinter die Ohren schreiben	1189	hinter die Ohren + SCHREIBEN	
hinter Gittern sitzen	1190	hinter Gittern + SITZEN	
hinter Schloss und Riegel kommen	1191	hinter Schloss und Riegel	
hinter schwedischen Gardinen sitzen	1192	hinter schwedischen Gardinen + SITZEN	
hinter verschlossenen Türen	1193	hinter verschlossenen Türen	
hinter vorgehaltener Hand	1194	hinter vorgehaltener Hand	
Hinz und Kunz	1195	Hinz und Kunz	
hoch zehn	1196	hoch zehn	
Holla die Waldfee	1197	Holla die Waldfee	
Holz in den Wald tragen	1198	Holz + in den Wald + TRAGEN	
Holz vor der Hütte haben	1199	Holz + vor der Hütte + HABEN	viel Holz vor der Hütte + HABEN
Holzauge, sei wachsam	1200	Holzauge, sei wachsam	
Hopfen und Malz ist verloren	1201	Hopfen und Malz + verloren + SEIN	
Hotel Mama	1202	Hotel Mama	
Hummeln im Hintern haben	1203	Hummeln in Hintern	
hupf in Gatsch und schlog a Wölln	1204	hupf in Gatsch und schlog a Wölln	
husch, husch, die Waldfee	1205	husch + die Waldfee	
Hustekuchen	1206	Hustekuchen	
Hut ab	1207	Hut ab	
hätte, hätte, Fahrradkette	1208	hätte, hätte, Fahrradkette	
hüben und drüben	1209	hüben und drüben	
hüben wie drüben	1210	hüben wie drüben	
ich glaub, mein Schwein pfeift	1211	glaub + ein Schwein + PFEIFEN	
ihres Zeichens	1212	ihres Zeichens	
im Argen liegen	1213	im Argen + LIEGEN	
im Arsch sein	1214	im Arsch + SEIN	
im Begriff sein	1215	im Begriff + SEIN	
im besten Zuge sein	1216	im besten Zuge + SEIN	
im Clinch liegen	1217	im Clinch + LIEGEN	
im Dreck sitzen	1218	im Dreck + SITZEN	
im Dreck stecken	1219	im Dreck + STECKEN	
im Dreh sein	1220	im Dreh + SEIN	
im Dreieck springen	1221	im Dreieck + SPRINGEN	
im Dunkeln tappen	1222	im Dunkeln + tapp	
im Eimer sein	1223	im Eimer + SEIN	
im Fall	1224	im Fall + MANUAL_REVIEW	
