headword	n_manual_sampsize
was Sie nicht sagen	
was zum Kuckuck	
Weltkriegsgefreiter	
wenn der Berg nicht zum Propheten kommt, muss der Prophet wohl zum Berge kommen	all
wenn man vom Teufel spricht, kommt er	
wer nie sein Brot im Bette aß, weiß nicht, wie Krümel piken	
wider Erwarten	
Widerspruch in sich	
wie Arsch auf Eimer passen	
wie die Made im Speck leben	
wie die Ölsardinen	
wie die Pest meiden	
wie ein Blinder von der Farbe reden	
wie ein Blitz aus heiterem Himmel	
wie ein Pferd arbeiten	
wie gewonnen, so zerronnen	
wie Gott ihn schuf	
wie Gott in Frankreich leben	
wie Pastor Nolte	
wie von Geisterhand	
wie von Zauberhand	
wir sind wieder wer	
wissen, was man getan hat	
Witz, komm raus	
wohl oder übel	
Wurzeln schlagen	
zu Gesicht bekommen	
zu Grabe tragen	
zu gut, um wahr zu sein	
zu Herzen nehmen	
zugehen	200
zum einen Ohr hinein- und zum anderen wieder hinausgehen	
zum Narren halten	
zum Teufel schicken	
zum Tragen kommen	
Zünglein an der Waage	
zur Schau tragen	
zur Strecke bringen	
zweiter Sieger	
Zwerg auf den Schultern von Giganten	
Zwerg auf den Schultern von Riesen	
Zwölfjähriges Reich	
